"Time","Location ID","Soil Type","Analyte ID","Species ID","Result Type","Units","Minimum","5th Percentile","10th Percentile","25th Percentile","Median","75th Percentile","90th Percentile","95th Percentile","Maximum","Mean","Standard Deviation"
2012,"RRD1-1","NONE","Hg","AIRD","CONCEN","ug/m^2/yr", 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
2012,"RRD1-1","NONE","Hg","GWAT","CONCEN","ug/L", 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 1.00000E-01, 0.00000E+00
2012,"RRD1-1","NONE","Hg","SWAT","CONCEN","ug/L", 2.40000E-02, 2.40000E-02, 2.40000E-02, 2.40000E-02, 2.40000E-02, 2.40000E-02, 2.40000E-02, 2.40000E-02, 2.40000E-02, 2.40000E-02, 0.00000E+00
2012,"RRD1-1","NONE","Hg","SEEP","CONCEN","ug/L", 5.97200E-02, 5.97200E-02, 5.97200E-02, 5.97200E-02, 5.97200E-02, 5.97200E-02, 5.97200E-02, 5.97200E-02, 5.97200E-02, 5.97200E-02, 0.00000E+00
2012,"RRD1-1","NONE","Hg","SEDI","CONCEN","ug/kg", 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 8.50000E+03, 0.00000E+00
2012,"RRD1-1","NONE","Hg","PWAT","CONCEN","ug/L", 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 6.00000E-01, 0.00000E+00
2012,"RRD1-1","NONE","Hg","SORP","CONCEN","ug/kg", 4.74373E+03, 4.74373E+03, 4.74373E+03, 4.74373E+03, 4.74373E+03, 4.74373E+03, 4.74373E+03, 4.74373E+03, 4.74373E+03, 4.74373E+03, 0.00000E+00
2012,"RRD1-1","SORP","Hg","RFUNGI","BURDEN","ug/kg wet", 5.28506E+01, 5.28506E+01, 5.28506E+01, 5.28506E+01, 5.28506E+01, 5.28506E+01, 5.28506E+01, 5.28506E+01, 5.28506E+01, 5.28506E+01, 0.00000E+00
2012,"RRD1-1","NONE","Hg","GULPEL","BURDEN","ug/kg wet", 4.18345E+03, 4.18345E+03, 4.18345E+03, 4.18345E+03, 4.18345E+03, 4.18345E+03, 4.18345E+03, 4.18345E+03, 4.18345E+03, 4.18345E+03, 0.00000E+00
2012,"RRD1-1","NONE","Hg","TURTLE","BURDEN","ug/kg wet", 1.44615E+01, 1.44615E+01, 1.44615E+01, 1.44615E+01, 1.44615E+01, 1.44615E+01, 1.44615E+01, 1.44615E+01, 1.44615E+01, 1.44615E+01, 0.00000E+00
2012,"RRD1-1","SORP","Hg","RBIRD","BURDEN","ug/kg wet", 7.63378E+02, 7.63378E+02, 7.63378E+02, 7.63378E+02, 7.63378E+02, 7.63378E+02, 7.63378E+02, 7.63378E+02, 7.63378E+02, 7.63378E+02, 0.00000E+00
2012,"RRD1-1","NONE","Zn","AIRC","CONCEN","ug/m^3", 2.10000E+00, 2.10000E+00, 2.10000E+00, 2.10000E+00, 2.10000E+00, 2.10000E+00, 2.10000E+00, 2.10000E+00, 2.10000E+00, 2.10000E+00, 0.00000E+00
2012,"RRD1-1","NONE","Zn","AIRD","CONCEN","ug/m^2/yr", 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
2012,"RRD1-1","NONE","Zn","GWAT","CONCEN","ug/L", 2.10000E-01, 2.10000E-01, 2.10000E-01, 2.10000E-01, 2.10000E-01, 2.10000E-01, 2.10000E-01, 2.10000E-01, 2.10000E-01, 2.10000E-01, 0.00000E+00
2012,"RRD1-1","NONE","Zn","SWAT","CONCEN","ug/L", 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 5.04000E-02, 0.00000E+00
2012,"RRD1-1","NONE","Zn","SEEP","CONCEN","ug/L", 1.25412E-01, 1.25412E-01, 1.25412E-01, 1.25412E-01, 1.25412E-01, 1.25412E-01, 1.25412E-01, 1.25412E-01, 1.25412E-01, 1.25412E-01, 0.00000E+00
2012,"RRD1-1","NONE","Zn","SEDI","CONCEN","ug/kg", 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 1.78500E+04, 0.00000E+00
2012,"RRD1-1","NONE","Zn","PWAT","CONCEN","ug/L", 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 1.26000E+00, 0.00000E+00
2012,"RRD1-1","NONE","Zn","SORP","CONCEN","ug/kg", 7.77554E+00, 7.77554E+00, 7.77554E+00, 7.77554E+00, 7.77554E+00, 7.77554E+00, 7.77554E+00, 7.77554E+00, 7.77554E+00, 7.77554E+00, 0.00000E+00
2012,"RRD1-1","SORP","Zn","RFUNGI","BURDEN","ug/kg wet", 7.96281E-02, 7.96281E-02, 7.96281E-02, 7.96281E-02, 7.96281E-02, 7.96281E-02, 7.96281E-02, 7.96281E-02, 7.96281E-02, 7.96281E-02, 0.00000E+00
2012,"RRD1-1","NONE","Zn","GULPEL","BURDEN","ug/kg wet", 8.39964E+01, 8.39964E+01, 8.39964E+01, 8.39964E+01, 8.39964E+01, 8.39964E+01, 8.39964E+01, 8.39964E+01, 8.39964E+01, 8.39964E+01, 0.00000E+00
2012,"RRD1-1","NONE","Zn","TURTLE","BURDEN","ug/kg wet", 4.79658E-01, 4.79658E-01, 4.79658E-01, 4.79658E-01, 4.79658E-01, 4.79658E-01, 4.79658E-01, 4.79658E-01, 4.79658E-01, 4.79658E-01, 0.00000E+00
2012,"RRD1-1","SORP","Zn","RBIRD","BURDEN","ug/kg wet", 2.79643E+01, 2.79643E+01, 2.79643E+01, 2.79643E+01, 2.79643E+01, 2.79643E+01, 2.79643E+01, 2.79643E+01, 2.79643E+01, 2.79643E+01, 0.00000E+00
